carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4636.577970142375
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,835.8074408659168
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1768.900646467413
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6333.313428639117
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,15482.45012722661
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13465.114196022774
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5928.453866647641
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3346.209349791119
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3621.235376795181
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3423.5065603219628
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5263.92723468134
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,467.62282091710676
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1945.3134779271995
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,280.30078425826923
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1420.524735378021
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1628.6603316656197
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,-88.38626107521122
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,18157.853237027884
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4880.886083087968
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,15.681537068587204
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,5482.469610783318
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,441.3546586888224
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5518.642127441312
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4471.074343881638
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7515.666924401058
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,846.2142206802964
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1950.265655142055
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2769.889133554713
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,871.4775321392399
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,3023.5991755453433
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5622.207500200441
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,420.54109906006306
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3413.099780507583
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4149.469020405201
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1566.2196527793399
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6022.114884977061
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,913.1046513967603
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5882.376995559938
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,264.9418272290354
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-25.94558218893144
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,389.8231850015932
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,301.11434388702855
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-425.3505415808804
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,140.56289484114632
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7713.395740874275
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6613.29163285803
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9366.996803959486
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1670.2874509231392
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,296.1621666721744
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,5182.180272320313
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1815.9823683244572
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6478.505920655764
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8226.772852839735
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,223.31470797151496
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3086.039854431622
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,8215.863647640683
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-695.4243913700866
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4714.880031442559
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5788.7159772305195
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5554.814644099307
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2012.706334028334
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,378.9139798025426
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3434.415765521013
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1814.9775175551167
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1955.72025774158
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7344.708695540797
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,-51.20889364787581
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1888.3274016404457
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7521.121527000582
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,316.4733009162637
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,430.4454534897718
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,430.9478788744418
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6176.709306038749
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,78.12221595486653
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,503.29291219043125
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3319.941187562835
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,129.6536896420962
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1665.3352737082846
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1534.9993133362009
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2225.291682146115
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,-15.538802374550869
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,705.471480493833
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,135.10829224162217
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4860.574948843877
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4035.4968678316936
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3242.1415516473207
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,814.9938812371565
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3434.415765521013
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3111.805591275237
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4694.066471813799
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3334.7977192073986
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9330.82428730149
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9268.38360841521
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1074.1585258273126
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5601.896365956351
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,16892.74792813557
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5731.729900943765
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,887.3389145531464
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,3221.3279920185614
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5508.235347626933
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6629.153015271934
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6193.073113837322
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3075.6330746172425
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5607.3509685558765
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9548.8642380188
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,871.4775321392399
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1162.3649415572063
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,239.1760903854206
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,249.08044481512934
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3252.5483314617004
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,217.86010537199036
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6664.823106545258
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1691.1010105518994
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6348.169960283679
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1696.0531877667536
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,-445.6616758249702
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1311.504760019368
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6260.968395323127
